Metadata,Assets Prior,,,,,Assets Creation,,,,,,,,,Double Checked,Reviewer
qiu2023rec,,,,,,Tracked 3DMM,Mono video,"Garment templates, Semantic segmentation",Slow (>6h),52 hours,SDF,No,None,Garment,FALSE,
guo2024reloo,,,,,,Tracked 3DMM,Mono video,Semantic segmentation,Slow (>6h),2 days,SDF,No,None,Garment,FALSE,
chen2025d,,,,,,Tracked 3DMM,Mono video,"Semantic segmentation, normal map",Slow (>6h),several hours,SDF,Yes,None,Garment,FALSE,
tan2025dressrecon,,,,,,Tracked 3DMM,Mono video,"Semantic segmentation, normal map, DINOv2",Slow (>6h),16 hours,SDF,No,None,Garment,FALSE,
Ma2020cape,"80,000",CAPE,Real,Meshes,1~2,Tracked 3DMM,"Zero, One",Semantic segmentation,,,Mesh,No,None,Garment,FALSE,
jiang2020bcnet,"48,000",BCNet,Synthetic,"Single image, Meshes, Sewing Pattern",,Tracked 3DMM,One,,Instant (<1min),,Mesh,No,None,Garment,FALSE,
corona2021smplicit,"2,706,000",BCNet,Synthetic,"Meshes, Sewing Pattern, Single image",,,"Zero, One, Point cloud",Semantic segmentation,Fast (<30min),90 seconds per garment,SDF,No,None,Garment,FALSE,
moon20223d,"509,000","MSCOCO, DeepFashion2",Real,Single image,,Tracked 3DMM,One,"3DMM, Semantic segmentation, DensePose",Instant (<1min),10 seconds,SDF,No,None,Garment,FALSE,
nam2025decloth,,"MSCOCO, DeepFashion, SHHQ, THumans2.0",Real,Single image,,Tracked 3DMM,One,"ClothWild, Semantic segmentation, normal maps",,,SDF,No,None,Garment,FALSE,
li2024diffavatar,,,,,,Tracked 3DMM,Multi-view images,"Semantic segmentation, garment template, cage",Medium (<6h),20-200 minutes,Mesh,Yes,None,Garment,FALSE,
pons2017clothcap,,,,,,Tracked 3DMM,Multi-view video,Semantic segmentation,Slow (>6h),,Mesh,No,None,Garment,FALSE,
bradley2008markerless,,,,,,,Multi-view video,Garment template,Slow (>6h),1 hour per frame,Mesh,No,None,Garment,FALSE,
bhatnagar2019multi,356,Multi-Garment Net,Real,Meshes,,Tracked 3DMM,"One, Few","2D pose, Semantic segmentation, garment templates",,,Mesh,No,None,Garment,FALSE,
halimi2022pattern,,,,,,Tracked 3DMM,Multi-view video,Semantic segmentation,,,Mesh,No,None,Garment,FALSE,
guo2024diffusion,,Pattern-Based Cloth Registration,Real,Meshes,1,,Point cloud,Garment template,Instant (<1min),54 seconds,Mesh,No,None,Garment,FALSE,
sarafianos2025garment3dgen,,,,,,,One,"Garment template, FashionCLIP, multi-view diffusion, Large Reconstruction Model (LRM)",Fast (<30min),5 minutes,Mesh,Yes,None,Garment,FALSE,
Guo2025pgc,,,,,,,Multi-view images,,Medium (<6h),3 hours,3DGS,Yes,Local Light,Garment,FALSE,
Zhou2023groomgen,7712,Internal,Synthetic,3D Strands,N/A,Tracked 3DMM,Zero,,Instant (<1min),,Strands,Yes,None,Hair,FALSE,
he2025head,70000,PanoHead samples,Real,,128,,Zero,,,,3DGS,No,None,Hair,FALSE,
Chen2025doubly,658,USC-HairSalon,"Generated, Synthetic",3D Strands,,,Zero,,Instant (<1min),12 seconds,Strands,Yes,None,Hair,FALSE,
He2025perm,20000,Hair20k,Synthetic,3D Strands,3,Tracked 3DMM,Zero,,Instant (<1min),,Strands,Yes,None,Hair,FALSE,
Sklyarova2024haar,9825,"USC-HairSalon, CT2Hair, Internal","Synthetic, Generated",3D Strands,3,Tracked 3DMM,"Text, Zero",NeuralHaircut,Instant (<1min),,Strands,Yes,None,Hair,FALSE,
Sun2025strandhead,,,,,,,Text,,Slow (>6h),8 hours,Strands,Yes,None,Hair,FALSE,
Zakharov2024haircut,,,,,,Tracked 3DMM,"Mono video, Multi-view images",NeuralHaircut,Medium (<6h),6 hours,"Strands, 3DGS",Yes,None,Hair,FALSE,
Sklyarova2023neural,343,USC-HairSalon,Synthetic,3D Strands,3,Tracked 3DMM,"Mono video, Multi-view images",,Slow (>6h),3 days,Strands,No,None,Hair,FALSE,
Radu2022neuralstrands,,Internal,Synthetic,3D Strands,,Tracked 3DMM,Multi-view images,,Slow (>6h),48 hours,Strands,Yes,None,Hair,FALSE,
Zhou2024groomcap,,,,,,,"Multi-view images, Mono video",,Slow (>6h),28 hours,"Strands, Mesh",Yes,None,Hair,FALSE,
Zheng2025GroomLight,,,,,,,OLAT multi-view images,GroomCap,Slow (>6h),116 hours,"3DGS, Strands",Yes,Distant Light,Hair,FALSE,
luo2024gaussianhair,,,,,,Tracked 3DMM,Multi-view images,NeuralHaircut,Slow (>6h),,3DGS,Yes,Distant Light,Hair,FALSE,
Wu2024monohair,"2,744",USC-HairSalon,Synthetic,3D Strands,6,,"Mono video, Multi-view images",DeepMVSHair,Medium (<6h),4-6 hours,Strands,No,None,Hair,FALSE,
shen2023CT2Hair,,,,,,Tracked 3DMM,3D density volume,,Slow (>6h),,Strands,Yes,None,Hair,FALSE,
Radu2025difflocks,"40,000",Internal,Synthetic,3D Strands,,,One,,Fast (<30min),2.33 seconds,Strands,Yes,None,Hair,FALSE,
zheng2023hairstep,343; 1250,"USC-HairSalon, Annotated images","Synthetic, Real","3D Strands, Single image",6,Tracked 3DMM,One,"3DDFA, SAM",Fast (<30min),5 min,Strands,No,None,Hair,FALSE,
sklyarova2025im2haircut,"20,000",Hair20k,,3D Strands,23,Tracked 3DMM,"One, Few","Deep3DFaceRecon, SAM, Depth Pro",Fast (<30min),10 min,Strands,Yes,None,Hair,FALSE,
Xiang2023drivable,,,,,,"Cloth template and graph, Tracked 3DMM","Multi-view video, Depth",3DMM,Slow (>6h),4 days,Mesh,,None,Garment,FALSE,
xiang2022DressingAvatars,,,,,,"Tracked 3DMM, Registered Cloth Meshes",Multi-view video,3DMM,Slow (>6h),,Mesh,,None,Garment,FALSE,
zheng2024physavatar,,,,,,"Tracked 3DMM, Registered Cloth Meshes",Multi-view video,3DMM,Slow (>6h),,3DGS,,None,Garment,FALSE,
lin2024layga,,,,,,Tracked 3DMM,Multi-view video,Semantic segmentation,,,3DGS,,None,Garment,FALSE,
ma2022SKIRT,,,,,,4D Scan,,3DMM,,,Mesh,,None,Garment,FALSE,
li2025simavatar,"20,000","Sewing Pattern, Cloth3D",Synthetic,Meshes,,,Text,3DMM,Medium (<6h),6 hours,3DGS,,None,Garment,FALSE,
Feng2022scarf,,,,,,"Tracked 3DMM, segmentation masks",Mono video,3DMM,Slow (>6h),40 hours,"Mesh, NeRF",,None,Garment,FALSE,
Rong2024gaussgarment,,,,,,Registered Meshes,Multi-view video,"Physics, 3DMM, ContourCraft",Slow (>6h),,"3DGS, Mesh",,None,Garment,FALSE,
xiang2021ClothingCodecAvatar,,,,,,"Tracked 3DMM, Registered Cloth Meshes",Multi-view video,3DMM,,,Mesh,,None,Garment,FALSE,
wang2024disentangled,,,,,,,Text,"3DMM, garment templates",Medium (<6h),5 hours,Mesh,,None,Garment,FALSE,
zhang2025disentangled,"1,954","THuman 2.0, THuman 2.1, CustomHuman",Real,Meshes,,,Zero,"3DMM, garment templates",Instant (<1min),2 seconds,3DGS,,None,Garment,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,FALSE,
