Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
Shang2020self,300W-LP (122450) + Multi-PIE + CelebA + LS3D,"300W-LP, Multi-PIE, CelebA, LS3D, AFLW2000-3D, MICC Florence, BU-3DFE, FRGC v2.0",Real,Multi-view image,,Tracked 3DMM,One,3DMM (BFM + FaceWarehouse expression),No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
Thies2016face,0,"FaceWarehouse, Basel Face Model",Real,Mono video,,Tracked 3DMM,Mono video,3DMM (Blendshape model with 80 identity + 80 albedo + 76 expression basis vectors),Yes,Fast (<30min),,Video,Distant Light,Real-time (>30 FPS),,Mesh,Yes,Face,FALSE,
li2025tokenmotion,"HumanVid + RealEstate10K (not explicitly sized; HumanVid real-world set used, RealEstate10K ~80K clips)","HumanVid, RealEstate10K",Real,"Video, Camera Parameters, 2D Pose (DWPose)",,,Text prompt or image + camera trajectory + human pose sequence,"CogVideoX-2B pretrained T2V model, DWPose pose detector, Plucker camera embedding",No,Feed-forward (50-step DDIM denoising at inference),,2D skeleton pose (DWPose) + camera trajectory (Plucker embedding),No,Near real-time (50 denoising steps for 49-frame clip),,2D Diffusion (DiT-based video diffusion),No,"Head, Body",FALSE,
li2025magicid,100 generated videos + 20 generated videos + static reference videos per identity (small-scale per-identity preference data); base model HunyuanVideo pretrained on large-scale data,Custom preference data generated per identity (no named external dataset for fine-tuning),Generated,"Video, Text prompts, Reference face images",,,Few reference images of a person + text prompt,"HunyuanVideo pretrained T2V model, ArcFace ID encoder, RAFT optical flow, Qwen-VL for semantic evaluation",Yes,~6000 steps total fine-tuning (1000 initial + 5000 HPO) per identity,,Text prompt,No,50-step DDIM inference for 61-frame video,,2D Diffusion (DiT-based HunyuanVideo),No,"Head, Body",FALSE,
li2025personalvideo,50 simulated prompts per identity; base model HunyuanVideo/AnimateDiff pretrained on large-scale data,"Glint360K (for ID reward model pretraining), no named video dataset for fine-tuning",Generated,"Video, Text prompts, Reference face images",,,1-few reference images of a person + text prompt,"HunyuanVideo or AnimateDiff pretrained T2V model, ResNet-100 face recognition (ArcFace on Glint360K), HPSv2 semantic reward model",Yes,800 iterations (AnimateDiff) or 4000 steps (HunyuanVideo) per identity,,Text prompt,No,50-step DDIM inference for 16-frame (AnimateDiff) or 61-frame (HunyuanVideo) video,,2D Diffusion (DiT-based HunyuanVideo / UNet-based AnimateDiff),No,"Head, Body",FALSE,
wang2025multi,45000 videos (20K HumanVid + 25K Multi-HumanVid),"HumanVid, Multi-HumanVid (newly collected 25K)",Real,"Video, 2D Pose (DWPose), Camera Parameters, Depth Maps (DepthCrafter), Surface Normals (Sapiens), Human Masks (SAM2)",,,Single reference image + driving 2D pose sequence + camera parameters + human masks,"Stable Diffusion 1.5, AnimateDiff V3 motion module, ControlNet (OpenPose), CameraCtrl camera encoder, DepthCrafter, Sapiens normal estimator, SAM2, Grounding-DINO",No,Feed-forward (diffusion inference for 48 frames),,2D skeleton pose (DWPose/OpenPose) + camera trajectory (Plucker embedding) + identity masks,No,Near real-time diffusion inference (48 frames),,2D Diffusion (UNet-based latent video diffusion with multi-modality RGB-depth-normal),No,"Head, Body",FALSE,
wang2026flowact,Not specified (composite dataset of general video + conversation videos; Seedance pre-trained backbone),Internal composite dataset (general video samples + conversation videos with dense annotations),Real,Video,,,One,"Video Diffusion (Seedance MMDiT), Whisper audio encoder, MLLM (action planning)",No,Instant (<1min),,Audio + Text,None,Real-time (>30 FPS),,Diffusion,No,Full-body,FALSE,
yang2025echomotion,~80K video-motion pairs (HuMoVe) + 14616 motions (HumanML3D),"HuMoVe (~80K video-motion pairs), HumanML3D (14616 motions)",Real,Video + 3D motion (SMPL),,,Text,"Video Diffusion (Wan 2.1/2.2), SMPL body model",No,Instant (<1min),,Text (or SMPL motion),None,Offline (<1 FPS),,Diffusion,No,Full-body,FALSE,
xie2025x,~2.7M clips (4248.6 hours of talking-head videos),"HDTF, CelebV-HQ, additional licensed sources; eval: 50 in-the-wild portraits (DeviantArt, Midjourney, Pexels)",Real,Video,,,One,"Video Diffusion (LTX VAE), GLM-4-Voice (language-speech model), HiFi-GAN vocoder",No,Instant (<1min),,Audio + Text,None,Real-time (>30 FPS),,Diffusion,No,Head,FALSE,
wei2025echovideo,~3.6M image-video pairs (3M paired + 0.3M cross-paired + 0.3M generated cross-paired),Internet text-to-video dataset (filtered for single person); eval: 23 FFHQ images,Real,Video + face images,,,One + Text,"Video Diffusion (CogVideoX-5B), SigLip (face visual features), ArcFace (face ID embedding)",No,Instant (<1min),,Text,None,Offline (<1 FPS),,Diffusion,No,Full-body,FALSE,
jiang2025omnihuman,15000 hours of video (top 100 hours for fine-tuning),"Internal filtered video data (15000h); eval: CelebV-HQ (100 videos), CyberHost test set (269 videos, 119 identities), custom benchmarks (150 single-subject, 57 multi-subject)",Real,Video,,,One,"Video Diffusion (MMDiT pre-trained), MLLM (Analyzer + Planner agents), Whisper audio encoder",No,Instant (<1min),,Audio + Text,None,Offline (<1 FPS),,Diffusion,No,Full-body,FALSE,
pang2025mavid,"10K+ hours audio, ~1M audio-video pairs","Custom internet-collected (movies, talking body videos, speeches, human interaction scenes)",Real,"Video, Audio, Text",,,Text + Audio + Video/Image (reference image optional),"Qwen2.5-Omni (Thinker+Talker), Wan VAE, higgs-audio tokenizer, T5 encoder",No,Not specified,,"Text (speech + motion instructions), Audio",None,~30 seconds video per single inference,,AR + Diffusion (DiT),No,"Head, Upper Body",FALSE,
wang2025mosa,30K videos (MoVid) + million-scale motion data for structure transformer,"MoVid (30K custom), HumanML3D, KIT Motion-Language, Motion-X",Real,"Video, Text, 3D Motion (skeleton keypoints)",,3D Skeleton,Text prompt,"CogVideoX-5B (pretrained DiT), T5 encoder, pretrained 3D structure transformer",No,Not specified,,Text,None,Not specified,,Diffusion (DiT),No,Full Body,FALSE,
shan2025populate,"~250K single-person + ~171K two-person videos (ShutterStock subset), 217K+30K training samples after processing",ShutterStock (filtered subset),Real,"Video, Image, Text",,,Scene image + Text prompt (action + appearance description),"Movie Gen 4B (pretrained T2V), CLIP, UL2, ByT5, SAM, GroundingDINO, LLaMA 3",No,Not specified,,Text,None,8 seconds at 16fps (128 frames),,"Diffusion (Flow Matching, Transformer)",No,Full Body,FALSE,
Li2022tava,60-300 training frames per subject (4 views),"ZJU-MoCap (4 subjects), Custom synthetic animals (Hare, Wolf)","Real, Synthetic","Multi-view Video, 3D Skeleton",,3D Skeleton (tracked),Multi-view images + 3D skeleton poses,None (template-free),Yes,Not specified (per-subject training required),,3D Skeleton Pose,None,Not specified,,NeRF (Mip-NeRF based volumetric rendering),No,Full Body (humans + animals),FALSE,
Xu2024gaussian,"10 identities from NeRSemble (2500-3000 frames each, 16 cameras), 2 identities from HAvatar (3000 frames, 8 cameras), 3 self-captured (1000 frames, 4 cameras)","NeRSemble, HAvatar, Self-captured",Real,Multi-view video,,"3DMM (BFM), FLAME model",Multi-view video (4-16 cameras),"3DMM (BFM), FLAME, face parsing, 2D facial landmarks, background removal",Yes,~10 min initialization + 600K iterations training,,Expression coefficients + head pose + hair kinematics (position/speed at previous timesteps),None,Not reported (focus on quality at 2K resolution),,3D Gaussian splatting,Yes,Head (face + dynamic hair),FALSE,
Pang2024ash,"DynaCap: 2 subjects; Custom: 2 subjects (120 cameras, 27K training + 7K testing frames each)","DynaCap, Custom recorded sequences",Real,Multi-view video,,Person-specific deformable template mesh,Skeletal pose + virtual camera view,"Deformable character model (DDC), markerless motion capture, foreground segmentation",Yes,Not explicitly reported (warmup stage + full training),,Skeletal pose (motion window),None,Real-time (29.64 fps),,3D Gaussian splatting,No,Full body (clothed human),FALSE,
Wang2023styleavatar,6 videos for pre-training; per-subject ~2 min monocular video (80% train / 20% test split),"MEAD, Obama video, IMAvatar video, custom videos",Real,Monocular video,,3DMM (FaceVerse),Monocular video,"FaceVerse 3DMM, MediaPipe facial landmarks, Robust Video Matting",Yes,~2 hours,,3DMM expression + head pose parameters,None,Real-time (35 fps / 20 ms with TensorRT at 1024x1024),,StyleGAN-based neural rendering (StyleUNet),Yes,Portrait (face + hair + shoulders + background),FALSE,
Giebenhain2024mononphm,"473 identities (NPHM dataset v2, high-quality textured 3D scans)","NPHM dataset (473 identities), 20 custom Kinect sequences (5 participants), FFHQ",Real,"3D scans (training prior), Monocular RGB video (tracking)",,Tracked FLAME,Monocular RGB video,"NPHM (neural parametric head model), FLAME, 2D facial landmarks, face segmentation",Yes,Slow (>6h),,Latent expression codes,Spherical Harmonics (3-band),Offline (<1 FPS),,NeRF (SDF-based volume rendering),No,Head,FALSE,
Qian20243dgs,None (per-scene optimization),"ZJU-MoCap (6 sequences), PeopleSnapshot (4 sequences)",Real,Monocular video,,"Tracked SMPL, foreground masks",Monocular RGB video,SMPL,Yes,Fast (1-6h),,Skeleton (SMPL pose),None,Real-time (>30 FPS),,3DGS,No,Full Body,FALSE,
Hu2024gaussianavatar,None (per-scene optimization),"People-Snapshot (4 sequences), NeuMan (4 sequences), DynVideo (custom, 2 sequences)",Real,Monocular video,,"Tracked SMPL/SMPL-X, foreground masks",Monocular RGB video,"SMPL/SMPL-X, ROMP (pose estimator)",Yes,Fast (1-6h),,Skeleton (SMPL pose),None,Real-time (>30 FPS),,3DGS,No,Full Body,FALSE,
Icsik2023humanrf,None (per-scene optimization),"ActorsHQ (8 actors, 160 cameras, 12MP, 39765 frames), Dynamic Furry Animal (DFA)",Real,"Multi-view video (160 cameras, 12MP)",,"Multi-view camera rig, foreground masks, per-frame mesh reconstructions",Multi-view video,None (template-free),Yes,Slow (>6h),,Video (temporal replay),None,Offline (<1 FPS),,NeRF (4D hash-based decomposition),No,Full Body,FALSE,
Ng2024audio,"8 hours of dyadic conversation video (4 participants, multi-view capture)","Custom multi-view conversational dataset (4 subjects, 8h video), 30h in-house 3D mesh data (lip regressor)",Real,Multi-view video + audio,,"Multi-view capture dome, pre-trained personalized avatar renderer (cVAE)",Conversational audio (dyadic),"Wav2Vec, pre-trained lip regressor, personalized avatar renderer (Bagautdinov et al.)",Yes,Slow (>6h),,Audio,None,Offline (<1 FPS),,Learned neural renderer (cVAE rasterization),No,Full Body,FALSE,
Xiang2024flashavatar,N/A (per-subject optimization),"NHA, NeRFBlendShape, NerFace, INSTA (public monocular video data from prior works)",Real,Monocular RGB Video,,FLAME mesh tracking (MICA-based tracker from INSTA),"Monocular video (1-3 minutes, 25 FPS, 512x512)","FLAME parametric face model, UV parameterization, RVM foreground segmentation, face parsing for mouth region",Yes,Minutes (~5 minutes training on RTX 3090),,FLAME expression code (expression coefficients + eyes pose + jaw pose + eyelids),None,300+ FPS (512x512 on RTX 3090),,3D Gaussian Splatting (tile-based rasterization),No,"Head (face, hair, neck, accessories like glasses/earphones)",FALSE,
Chen2024monogaussianavatar,N/A (per-subject optimization),"IMavatar dataset, Nerface dataset, smartphone-captured subjects",Real,Monocular RGB Video,,FLAME mesh tracking (shared face-tracking from PointAvatar/IMavatar pipeline),Monocular portrait video (512x512 or 1024x1024),"FLAME parametric face model (blendshapes, skinning weights, joint regressor), VGG perceptual features",Yes,"~9 hours (100K Gaussian points, NVIDIA GTX 3090)",,FLAME expression and pose parameters (blendshapes + LBS skinning),None,~1000 FPS (0.001s per image rendering at 512x512),,3D Gaussian Splatting,No,"Head (face, hair, teeth, accessories like eyeglasses)",FALSE,
Chen2024morphable,~800K objects (Objaverse pretraining) + 323 subjects x 20 expressions (FaceScape finetuning) + 473 meshes (THuman 2.0 finetuning),"Objaverse (pretraining), FaceScape (faces, 323 train / 36 test subjects), THuman 2.0 (bodies, 473 train / 53 test)","Real (FaceScape multi-view scans, THuman 2.0 scans) + Synthetic (Objaverse 3D objects)",Multi-view RGB Images (calibrated),,"FLAME or bilinear face model fitting, SMPL-X body model fitting",Single RGB image,"FLAME/bilinear 3D morphable model, SMPL-X body model, CLIP image encoder, SyncDreamer/Zero-1-to-3 pretrained diffusion model, MICA face reconstruction",No,"Feed-forward (diffusion sampling, ~50 DDIM steps)",,"FLAME expression parameters (or bilinear model expression), body pose via SMPL-X",None,Diffusion sampling speed (not real-time),,Multi-view diffusion (UNet denoiser with 3DMM-aware feature volume via SparseConvNet),No,"Head (face, full body)",FALSE,
Deng2024portrait4d,70K images (FFHQ for GenHead training) + VFHQ video clips (for 3DMM parameter extraction),"FFHQ (realigned, 512x512, for GenHead), VFHQ (video clips for motion parameters and evaluation), 100 VFHQ test clips","Generated (synthetic 4D data from GenHead, trained on real FFHQ images)",Multi-view synthetic images (from GenHead) + monocular real images (FFHQ/VFHQ),,"GenHead 4D generative model (trained on FFHQ), FLAME mesh model",Single RGB image (source) + single driving image,"FLAME parametric face model (shape/expression/pose codes), pre-trained motion encoder, ArcFace identity features, StyleGAN2 backbone, EG3D tri-plane framework",No,Feed-forward (10 FPS on single A100 GPU),,Driving image (motion encoder extracts identity-agnostic motion vector v in R^548) + FLAME neck pose,None,"10 FPS (single A100 GPU, 512x512)",,Triplane-based NeRF with volume rendering + 2D super-resolution (StyleGAN2),Yes (2D super-resolution module),"Head (face, eyes, mouth, neck, with foreground-background separation)",FALSE,
Sela2017unrestricted,Synthetic (random faces from 3DMM),"BU-3DFE (200 subjects for evaluation), Basel Face Model (3DMM)",Synthetic,Image,,3DMM (Basel Face Model with identity + expression basis),Single image,3DMM (Blanz & Vetter morphable model with identity and expression bases),Yes,Minutes (network is fast but template registration takes a few minutes to converge),,,No,,,N/A (geometry reconstruction only),No,Face,FALSE,
Wood2021fake,"511 3D scans (geometry model), 200 texture sets, 512 scalp hair styles, 162 eyebrows, 142 beards, 42 eyelash sets, 30 outfits, 448 HDRIs, 27000 expression parameters","511 individual 3D scans (proprietary), Helen, LaPa, 300W (evaluation only)",Synthetic,Image + 3D scans,,"Parametric face model (7667 vertices), hand-crafted hair/clothing/accessory library, HDRIs",None (generative pipeline),"Blendshape-based face rig with identity basis (from 511 scans) and expression basis (artist-authored), LBS skinning",No,48 hours for 100K images on 150 GPUs (~1.7s per image),,"Expression parameters (blendshapes), eye gaze",Yes (HDRI-based image-based lighting with 448 environments),,,"Ray tracing (Cycles renderer, physically-based)",No,Head,FALSE,
Wang2023rodin,100K synthetic 3D avatars,"100K avatars from Blender synthetic pipeline (Wood et al.), LAION-400M subset (for text-conditioned diffusion)",Synthetic,Multi-view images (300 views per avatar),,"Tri-plane NeRF representation (256x256x32 per plane), shared MLP decoder",None (unconditional) / Single portrait image / Text prompt,CLIP image encoder (ViT-B/32) for latent conditioning and text-guided editing,No,Seconds to minutes (100 diffusion steps for base + 100 for upsampler),,,No,,,NeRF volumetric rendering + convolutional refinement (1024x1024),Yes,Head,FALSE,
Zhang2024rodinhd,46K synthetic 3D avatars,46K avatars from Blender synthetic pipeline (Wood et al.),Synthetic,Multi-view images (300 views per avatar at 1024x1024),,"Tri-plane NeRF representation (512x512x32 per plane), shared MLP decoder",Single portrait image / Text prompt / None (unconditional),"VAE-based image encoder (multi-scale features via cross-attention), classifier-free guidance",No,Seconds to minutes (cascaded diffusion: base + upsample),,,No,,,"NeRF volumetric rendering (1024x1024, no 2D refiner needed)",No,Head,FALSE,
Roich2022pivotal,~70K (FFHQ dataset used for pre-training StyleGAN2),"FFHQ (StyleGAN2 pre-training), CelebA-HQ (1000 test samples for evaluation)",Real,Image,,Pre-trained StyleGAN2 generator,Single image,"StyleGAN2 latent space (W and W+), CLIP (for StyleClip editing), ArcFace (identity recognition)",Yes,~3 minutes (450 iterations inversion + 350 iterations pivotal tuning on RTX 2080),,"Latent space directions (pose, smile, age, expression)",No,Real-time (single forward pass after tuning),,"GAN (StyleGAN2, 1024x1024)",No,Face,FALSE,
Shao2024splattingavatar,10 subjects (head); 4 subjects from PeopleSnapshot (full-body),"NHA, NerFace, INSTA, PointAvatar, IMAvatar (head); PeopleSnapshot (full-body)",Real,Monocular video,,FLAME mesh (head) or SMPL-X mesh (full-body),Monocular video,"FLAME/SMPL-X parametric body model, tracked meshes per frame",Yes,30000 iterations per subject,,"Mesh deformation (skeletal animation, blend shapes, mesh editing)",No,300+ FPS (RTX 3090); 30 FPS (iPhone 13),,Gaussian Splatting (3DGS rasterization),No,"Head, Full-body",FALSE,
zhang2025mimicmotion,Not specified,Not specified,Real,Video,,,Reference image + pose sequence,"Confidence-aware pose guidance, pretrained diffusion model (SVD)",No,Feed-forward,,Pose sequence (skeleton keypoints),No,Not specified,,Video diffusion model,No,Full-body,FALSE,
Yoon2022learning,Not specified,Not specified,Real,Monocular video,,SMPL body model,Monocular video,"SMPL body model, equivariant motion representation",Yes,Per-subject training,,Body pose (SMPL parameters),No,Not specified,,Neural rendering (compositional multi-task decoder),No,Full-body,FALSE,
Xiong2024mvhumannet,"4,500 subjects, 9,000 sequences, 645M frames",MVHumanNet,Real,Multi-view video (synchronized cameras),,SMPL body model,Multi-view video,SMPL body model,Yes,Per-subject training,,Body pose,No,Not specified,,NeRF / 3DGS (benchmark methods),No,Full-body,FALSE,
Mihajlovic2022keypointnerf,"~500 subjects (ZJU-MoCap: 10 subjects, H36M: 11 subjects, FaceScape: ~350+ subjects)","ZJU-MoCap, Human3.6M, FaceScape",Real,Multi-view video,,3D Skeleton (keypoints),Few (2-3 sparse views),Sparse 3D keypoints (body joints or facial landmarks),No,Instant (<1min),,3D Skeleton Pose,None,Real-time (>30 FPS),,NeRF,No,"Head, Full Body",FALSE,
Zhang2024teca,N/A (uses pretrained text-to-image models),"LAION (implicit, via pretrained Stable Diffusion)",Generated,Text,,FLAME mesh,Text prompt,"FLAME, Stable Diffusion (SDS loss)",Yes,Minutes,,3DMM expr,None,Real-time (>30 FPS),,NeRF + Mesh,No,Head,FALSE,
Xu2021hnerf,Single subject (per-scene optimization),"ZJU-MoCap, Human3.6M, MonoPerfCap",Real,"Multi-view video, Mono video",,SMPL body model (tracked),Multi-view images or monocular video,"SMPL (implicit SDF body model), structured implicit function",Yes,Hours,,3D Skeleton Pose,None,Offline (<1 FPS),,NeRF,No,Full Body,FALSE,
Park2021hypernerf,Single scene (per-scene optimization),"Nerfies dataset (custom captures), Interp dataset (custom)",Real,Mono video,,,Monocular video,,Yes,Hours,,Time (latent code),None,Offline (<1 FPS),,NeRF,No,Face,FALSE,
Park2021nerfies,"N/A (per-scene optimization, no prior dataset)",Custom captured (selfie videos with dual-phone rig for evaluation),Real,Monocular video (casually captured),,Cameras (COLMAP SfM),Monocular video,,Yes,Slow (>6h),,Per-frame learned latent deformation code,None,Offline (<1 FPS),,NeRF,No,Head,FALSE,
Xu2023latentavatar,N/A (per-subject optimization),Custom monocular portrait videos (self-captured subjects),Real,Monocular video,,,Monocular video,"None (template-free, self-supervised latent codes)",Yes,Slow (>6h),,"Latent expression code (learned, 3D-aware)",None,Offline (<1 FPS),,NeRF,No,Head,FALSE,
Xiu2023econ,~500 scans (THuman 2.0 for normal estimator training) + artist-curated scans for IF networks,"THuman 2.0 (for normal estimation training), CAPE, Renderpeople (evaluation)",Real,Single image,,SMPL-X body mesh (fitted to input image),Single image,"SMPL-X body model, PyMAF-X (body estimation), pre-trained normal estimation networks (front/back), ICON/PIFu implicit function networks",Yes,Fast (<30min),,,None,,,Mesh,No,Full-body,FALSE,
Saito2021scanimate,100-600 frames per subject (varies by experiment),"CAPE (4 subjects with various clothing), ReSynth (custom rendered)",Real,3D Scans (raw unregistered point clouds/meshes),,SMPL body model (fitted to scans for pose initialization),Raw 3D scans in various poses,"SMPL body model (for articulation and skinning weights), LBS skinning",Yes,Slow (>6h),,SMPL body pose (joint angles),None,Real-time (>30 FPS),,Mesh (implicit function iso-surface extraction via Marching Cubes),No,Full Body (clothed),FALSE,
Ma2021scale,"~1000-2000 frames per subject (CAPE scans, ~150 poses per outfit)","CAPE (clothed scans, 4 subjects, 8 outfits), ReSynth (synthetic dressed humans for evaluation)",Real,3D Point Clouds (registered scans),,SMPL body model (for pose-dependent surface element placement),3D point clouds in various poses,"SMPL body model (body mesh for element placement, UV parameterization, LBS skinning weights)",Yes,Slow (>6h),,SMPL body pose (joint angles),None,Real-time (>30 FPS),,Point Cloud + Neural Rendering,No,Full Body (clothed),FALSE,
Saito2019pifu,491 scans (442 train / 49 test) from RenderPeople + 5 BUFF subjects for evaluation,"RenderPeople (High-Fidelity Clothed Human Dataset), BUFF, DeepFashion","3D scans (photogrammetry meshes with texture, ~100K triangles each)","3D meshes with texture; rendered with PRT using 163 indoor SH from HDRI Haven at 512x512; 360 views per subject = 159,120 training images",,watertight 3D meshes with texture,single or multiple RGB images,SMPL (for comparisons); stacked hourglass encoder pretrained features; segmentation mask (GrabCut for real images),No,feedforward inference (single forward pass); training: 4 days surface + 2 days texture on 1080ti,,,no (baked appearance),,,SDF,No,Full-body,FALSE,
Saito2020pifuhd,500 scans (450 train / 50 test) from RenderPeople,"RenderPeople, BUFF, People Snapshot, COCO (background augmentation)",3D scans (high-resolution photogrammetry meshes),3D meshes rendered with PRT at 1024x1024; 180 views per subject (every other degree in yaw); front/back normal maps predicted via pix2pixHD,,watertight 3D meshes,single RGB image (1024x1024),predicted front/back normal maps via image-to-image translation (pix2pixHD); no segmentation needed (COCO background augmentation),No,feedforward inference (single forward pass at 1k resolution),,,no (baked appearance),,,SDF,No,Full-body,FALSE,
Chen2021snarf,"DFaust subset of AMASS: 10 subjects, ~10 sequences each; CAPE: 8 subjects with different clothing","DFaust (AMASS), PosePrior (AMASS), CAPE",registered 3D meshes with bone transformations,"posed watertight meshes + SMPL joint/bone transformations; 20K points sampled per frame (half uniform, half near-surface with Gaussian noise sigma=0.01)",,posed watertight 3D meshes with bone transformations (no skinning weights needed),bone transformations (joint angles),SMPL skeleton structure (bone transformations); no ground-truth skinning weights required,yes (per-subject training; binary cross entropy loss on occupancy),per-subject optimization required,,skeleton (bone transformations / joint angles),no (geometry only),not reported explicitly; iterative root finding (Broyden's method) required per query point at inference,,"N/A (geometry only, no rendering)",,full body with clothing; geometry only (occupancy field); learned skinning weights + pose-dependent correctives in canonical space,FALSE,
Guo2023vid2avatar,no large-scale prior dataset of clothed human scans required; trained per-video,"evaluated on publicly available datasets (People Snapshot, NeuMan, etc.)",monocular in-the-wild video,RGB video frames with estimated per-frame human poses,,"none (no templates, no external segmentation required)",monocular RGB video,SMPL body model (for pose initialization); no external segmentation modules; no clothed human scan priors,yes (global optimization per video: background NeRF + canonical human shape/texture + per-frame pose),per-video optimization,,body pose parameters (SMPL-based),no (baked appearance from video),not specified; volume rendering based,,neural radiance field (volume rendering),,full body with clothing; canonical shape and texture; joint scene decomposition of human and background,FALSE,
Chen2022gdna,few posed un-rigged scans per subject,clothed human scans (details from abstract: few posed un-rigged scans per subject),"3D scans (posed, un-rigged)",3D meshes without rigging,,few posed 3D scans per subject (no rigging needed),body shape/pose parameters (generative model); can also fit to raw scans,SMPL body model; multi-subject forward skinning module; adversarial loss for stochastic detail generation,yes (training the generative model; per-scan fitting also supported),feedforward generation once trained; fitting to raw scans also possible,,skeleton (forward skinning with learned skinning weights),no (geometry only),not specified,,N/A (geometry-focused generative model),,"full body with diverse clothing; geometry with skinning weights; generative model capable of producing varied identities, shapes, and garment details including wrinkles",FALSE,
Drobyshev2022megaportraits,Not specified (medium-resolution video data + high-resolution image data used for training),"Medium-resolution video data, high-resolution image data (specific dataset names not disclosed in available text)",Real,Video + Image,,,One (single source image + driving image),None reported,No,Instant (<1min),,Image (driving image),None,Real-time (>30 FPS) (distilled student model runs in real-time),,Neural Rendering,No,Head,FALSE,
Wang2021metaavatar,Not specified (diverse body shapes and cloth types used for meta-learning),Not specified (monocular depth image sequences of clothed humans),Real,Depth images,,SMPL body model,Few depth images (as few as 8 monocular depth frames),"SMPL body model, Meta-learned hypernetwork initialization","Yes (fine-tuning from meta-learned initialization, but orders of magnitude faster than training from scratch)",Fast (<30min) (orders of magnitude faster than per-subject optimization from scratch),,Pose (human body pose parameters),None,Not specified,,Mesh (neural SDF extracted via marching cubes),No,Full Body (clothed human with dynamic cloth deformations),FALSE,
Xiu2024puzzleavatar,"41 subjects, ~1K OOTD configurations (PuzzleIOI benchmark dataset)","PuzzleIOI (41 subjects, ~1K outfit configurations with paired ground-truth 3D bodies)",Real,"Image (personal photo albums with diverse poses, viewpoints, occlusion)",,,Multiple casual photos (personal OOTD album),"Foundational VLM (vision-language model, fine-tuned with learned appearance/identity/garment tokens), text-to-3D generation",Yes,Not specified,,,None,,,Mesh,No,Full-body,FALSE,
Zhang2024sifu,"526 scans (490 train, 15 val, 21 test from THuman2.0)","THuman2.0 (526 human scans), CAPE (CAPE-FP and CAPE-NFP subsets)",Real (3D scans),3D meshes rendered to images; single RGB image input at inference,,SMPL-X model,Single RGB image,"SMPL-X body model (normals as queries), ViT encoder, Stable Diffusion (text-to-image diffusion for texture refinement), PIXIE (SMPL-X estimation), vision-to-text models (GPT-4, Vista-LLaMA)",No,Fast (feedforward geometry + texture optimization refinement),,,None (baked appearance),,,SDF,No,Full-body,FALSE,
