Metadata,Assets Prior,,,,,Assets Creation,,,,,,,,Double Checked,Reviewer
Li2023ems,400 synthetic eyebrow models,"Custom synthetic eyebrow dataset (400 models, artist-created)",Synthetic,Image + 3D models,,3D face mesh (for positioning),Single image,Hair reconstruction orientation predictor (OriPredictor borrowed from scalp hair methods),Instant (<1min),,Fiber curves (strands),No,None,Hair,FALSE,
wang2025dgh,Not specified (multi-view video captures of diverse hairstyles),Custom multi-view hair capture data,Real,Multi-view video,,"Hair strands (for guidance), Head mesh",Multi-view video,"Coarse-to-fine hair motion model, strand-guided optimization",Not specified,,3D Gaussian Splatting (strand-guided),"No (data-driven dynamics, not physics-based)",None,Hair (dynamic),FALSE,
kim2024gala,Not specified (pretrained 2D diffusion model),Not specified,Real + Generated,3D mesh (single-layer clothed human scan),,SMPL body model,Single clothed 3D human mesh,"Pretrained 2D diffusion model (Score Distillation Sampling), multi-view 2D segmentation",Slow (SDS optimization),,Mesh (multi-layered triangular meshes in canonical space),Yes,None,Garment,FALSE,
su2023caphy,Per-subject 3D scans (several subjects),Custom 3D scans,Real,3D scans,,"SMPL body model, 3D scans",3D scans of clothed humans,"Physics-based simulation (cloth dynamics), SMPL",Slow (>6h),,Mesh (physics-based cloth model with estimated material parameters),Yes,None,Garment,FALSE,
zhang2024estimating,,,Real,,,"Yarn structure specifications, yarn material properties",Meshes,"Cosserat rod yarn-level simulation, periodic homogenization",,,Shell material model (hyperelastic membrane + bending parameters),Yes,None,Garment,FALSE,
lazuardi2025geomhair,"400 subjects (Strands400 dataset), plus diverse synthetic hair scans for diffusion prior","Strands400, synthetic hair scans",Real,Meshes,,,Meshes,"Neural 2D line detector for strand orientation, diffusion prior trained on synthetic hair, scan-specific text prompts",Medium (<6h),,3D hair strands,Yes,None,Hair,FALSE,
bertiche2020cloth3d,20000+ garment design variations from 19 base types,CLOTH3D,Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, Conditional Variational Auto-Encoder with graph convolutions (GCVAE)",Instant (<1min),,"3D meshes (graph convolution-based latent space, CVAE generation on SMPL)",Yes,None,Garment,FALSE,
korosteleva2021sewingpatterns,20000+ garment designs from 19 base types (7 for generalization evaluation),Custom synthetic sewing pattern dataset,Synthetic,Meshes,,Sewing Pattern,Meshes,"Parametric sewing pattern templates, physics-based cloth simulation, 3D scanning artifact imitation",Instant (<1min),,3D garment meshes with corresponding 2D sewing patterns,Yes,None,Garment,FALSE,
Tiwari2020sizer,"100 subjects, ~2000 scans total",SIZER,Real,Meshes,,Registered Meshes,Meshes,"SMPL body model, garment category and size labels, scan segmentation into clothing parts",Instant (<1min),,"3D meshes (vertex displacements over SMPL, size-conditioned prediction)",No,None,Garment,FALSE,
korosteleva2023garmentcode,Large-scale (parametric sewing pattern library),GarmentCode dataset,Synthetic,Meshes,,Sewing Pattern,Meshes,"Parametric sewing pattern programming framework, physics-based cloth simulation",Instant (<1min),,3D garment meshes with parametric sewing patterns,Yes,None,Garment,FALSE,
vidaurre2020fully,Synthetic (physics-based simulations for multiple body shapes and garment types),"Custom simulated garment dataset (multiple garment types: dresses, shirts, tops)",Synthetic,Meshes,,Registered Meshes (parametric 2D garment panels),Meshes,"SMPL body model, parametric 2D garment panels",Instant (<1min),,Mesh (graph neural network predicting vertex displacements on parametric garment panels),No,None,Garment,FALSE,
bertiche2021deepsd,Synthetic (physics-based simulation sequences per garment),Custom simulated garment dataset,Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, linear blend skinning formulation",Instant (<1min),,"Mesh (blend weights + blend shapes matrices, standard 3D animation format)",Yes,None,Garment,FALSE,
vidaurre2025diffusedwrinkles,Large synthetic dataset (simulated garments across various motions and body shapes),"Custom simulated garment dataset (multiple garment types, motions, body shapes)",Synthetic,Meshes,,Registered Meshes (parametric garment templates),Meshes,"Parametric garment template, 2D layout-consistent texture encoding of 3D offsets",Fast (<30min),,Mesh (2D diffusion model predicting 3D offset textures on parametric garment template),No,None,Garment,FALSE,
bertiche2022neural,"None (unsupervised, no ground-truth simulation data needed)",N/A (self-supervised with physics-based losses),Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, physics-based loss terms (stretching, bending, gravity, collision), implicit integration scheme",Instant (<1min),,Mesh (neural network predicting static + dynamic cloth deformation subspaces),Yes,None,Garment,FALSE,
santesteban2022snug,"None (self-supervised, no ground-truth simulation data needed)",N/A (self-supervised with physics-based optimization losses),Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, physics-based loss terms (implicit integration formulation), parametric body shape",Instant (<1min),,Mesh (neural network predicting dynamic garment deformations with fine wrinkles),Yes,None,Garment,FALSE,
grigorev2023hood,Synthetic (physics-based simulation data for training),Custom simulated garment dataset (tight-fitting and loose clothing),Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, hierarchical multi-level graph message passing, unsupervised physics-based training",Instant (<1min),,Mesh (hierarchical graph neural network predicting vertex displacements),Yes,None,Garment,FALSE,
kairanda2024neuralclothsim,"None (physics-based optimization per scene, no prior training data)",N/A (per-scene optimization using Kirchhoff-Love shell theory),Synthetic,Meshes,,,Meshes,"Non-linear Kirchhoff-Love thin shell theory, non-linear anisotropic material model",Slow (>6h),,"Neural deformation field (continuous coordinate-based surface, resolution-independent)",Yes,None,Garment,FALSE,
li2021codimensional,"None (physics-based simulation, no training data)",N/A (physics-based simulator),Synthetic,Meshes,,,Meshes,"Incremental Potential Contact (IPC) framework, C2 constitutive barrier model for strain limiting, codimensional thickness modeling",Slow (>6h),,Mesh (codimensional shell/rod simulation with contact handling),Yes,None,Garment,FALSE,
wang2023fast,"None (physics-based simulation, no training data)",N/A (physics-based simulator),Synthetic,Meshes,,,Meshes,"Step-and-project integration, volume-based contact constraints, two-way continuous collision detection",Fast (<30min),,Mesh (GPU-accelerated deformable body simulation with continuous collision handling),Yes,None,Garment,FALSE,
santesteban2019learning,Large synthetic (physics-based simulations for multiple body shapes and animations per garment),"Custom simulated garment dataset (multiple body shapes, animation sequences)",Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, recurrent neural network for wrinkle dynamics",Instant (<1min),,Mesh (RNN predicting garment drape and wrinkles as function of body shape and dynamics),No,None,Garment,FALSE,
gundogdu2019garnet,Synthetic (physics-based simulation database),Custom simulated garment dataset,Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, 3D point cloud processing, physics-inspired loss function",Instant (<1min),,Mesh (two-stream deep network predicting garment vertex positions from body + garment point clouds),No,None,Garment,FALSE,
patel2020tailornet,"55800 frames (physics-based simulations across poses, shapes, and garment styles)","Custom dataset (55800 frames, publicly released), AMASS (for temporal evaluation)",Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, high/low frequency deformation decomposition, mixture of shape-style specific pose models",Instant (<1min),,"Mesh (MLP + mixture model predicting garment deformation as function of pose, shape, style)",No,None,Garment,FALSE,
zhang2022motion,Synthetic (physics-based simulation database for multiple garments and motions),"Custom simulated garment dataset (loose garments, multiple body shapes and motions)",Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, generative garment geometry space, frame-dependent skinning weights, collision residual prediction",Instant (<1min),,Mesh (learned canonical garment deformations with motion-dependent skinning and collision residuals),No,None,Garment,FALSE,
pan2022predicting,Synthetic (physics-based simulation database with varying simulation parameters),Custom simulated garment dataset (loose-fitting garments with varying bending stiffness),Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, virtual bone extraction via skin decomposition, RBF kernel ensembling for material parameters",Instant (<1min),,Mesh (bone-driven motion network predicting low + high frequency garment deformations),No,None,Garment,FALSE,
shao2024learning,"N/A (learns from single piece of cloth trajectory, not garment data)",Custom cloth simulation data (piece of cloth trajectories),Synthetic,Meshes,,Registered Meshes,Meshes,Energy Unit Network (EUNet) pre-trained on cloth piece,Medium (<6h),,Mesh (energy-optimized garment deformation),Yes,None,Garment,FALSE,
bertiche2021pbns,"N/A (unsupervised, no garment simulation data required)",None (unsupervised training),Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, Linear Blend Skinning",Fast (<30min),,Mesh (Pose Space Deformation basis for LBS),Yes,None,Garment,FALSE,
de2023drapenet,"N/A (self-supervised, generative model for garments)",Custom garment datasets (self-supervised),Synthetic,Meshes,,Registered Meshes,Single image,"SMPL body model, unsigned distance field generative model",Instant (<1min),,"Unsigned distance field (UDF) + 3D deformation field, extractable to mesh",No,None,Garment,FALSE,
shao2023towards,"700000 frames (D-LAYERS dataset, 4900 combinations of multi-layered garments)",D-LAYERS,Synthetic,Meshes,,Registered Meshes,Meshes,"SMPL body model, wind forces, particle-based physics representation",Fast (<30min),,Mesh (patch-level particle interactions in two-level hierarchy),Yes,None,Garment,FALSE,
stuyck2023diffxpbd,"N/A (differentiable physics simulator, no learning dataset)",,Synthetic,Meshes,,Meshes,Meshes,"XPBD constraint dynamics, automatic differentiation",Medium (<6h),,Mesh (position-based dynamics with compliant constraints),Yes,None,Garment,FALSE,
